Date,DX-Y.NYB,^GSPC,^VIX
2000-01-03,100.22000122070312,1455.219970703125,24.209999084472656
2000-01-04,100.41000366210938,1399.4200439453125,27.010000228881836
2000-01-05,100.37999725341797,1402.1099853515625,26.40999984741211
2000-01-06,100.6500015258789,1403.449951171875,25.729999542236328
2000-01-07,100.80000305175781,1441.469970703125,21.719999313354492
2000-01-10,100.98999786376953,1457.5999755859375,21.709999084472656
2000-01-11,100.55999755859375,1438.56005859375,22.5
2000-01-12,100.62000274658203,1432.25,22.84000015258789
2000-01-13,101.0,1449.6800537109375,21.709999084472656
2000-01-14,101.72000122070312,1465.1500244140625,19.65999984741211
2000-01-17,102.05000305175781,,
2000-01-18,101.86000061035156,1455.1400146484375,21.5
2000-01-19,101.76000213623047,1455.9000244140625,21.719999313354492
2000-01-20,101.36000061035156,1445.5699462890625,21.75
2000-01-21,101.76000213623047,1441.3599853515625,20.81999969482422
2000-01-24,102.19999694824219,1401.530029296875,24.06999969482422
2000-01-25,102.41000366210938,1410.030029296875,23.020000457763672
2000-01-26,102.44000244140625,1404.0899658203125,23.030000686645508
2000-01-27,103.16999816894531,1398.56005859375,23.540000915527344
2000-01-28,104.4800033569336,1360.1600341796875,26.139999389648438
2000-01-31,105.12999725341797,1394.4599609375,24.950000762939453
2000-02-01,104.91999816894531,1409.280029296875,23.450000762939453
2000-02-02,104.79000091552734,1409.1199951171875,23.1200008392334
2000-02-03,103.80000305175781,1424.969970703125,22.010000228881836
2000-02-04,104.29000091552734,1424.3699951171875,21.540000915527344
2000-02-07,104.63999938964844,1424.239990234375,22.790000915527344
2000-02-08,104.22000122070312,1441.719970703125,21.25
2000-02-09,103.68000030517578,1411.7099609375,22.899999618530273
2000-02-10,104.12999725341797,1416.8299560546875,23.06999969482422
2000-02-11,104.19000244140625,1387.1199951171875,24.420000076293945
2000-02-14,104.72000122070312,1389.93994140625,24.3799991607666
2000-02-15,104.69000244140625,1402.050048828125,22.920000076293945
2000-02-16,104.27999877929688,1387.6700439453125,23.510000228881836
2000-02-17,104.2699966430664,1388.260009765625,23.170000076293945
2000-02-18,104.62999725341797,1346.0899658203125,26.0
2000-02-21,104.58000183105469,,
2000-02-22,103.27999877929688,1352.1700439453125,25.860000610351562
2000-02-23,103.52999877929688,1360.68994140625,23.889999389648438
2000-02-24,104.01000213623047,1353.4300537109375,24.3799991607666
2000-02-25,105.26000213623047,1333.3599853515625,25.200000762939453
2000-02-28,105.2699966430664,1348.050048828125,24.68000030517578
2000-02-29,105.91999816894531,1366.4200439453125,23.3700008392334
2000-03-01,104.88999938964844,1379.18994140625,21.639999389648438
2000-03-02,105.6500015258789,1381.760009765625,21.059999465942383
2000-03-03,106.0,1409.1700439453125,19.209999084472656
2000-03-06,106.16000366210938,1391.280029296875,21.5
2000-03-07,106.08999633789062,1355.6199951171875,24.309999465942383
2000-03-08,105.93000030517578,1366.699951171875,23.81999969482422
2000-03-09,105.37000274658203,1401.68994140625,22.209999084472656
2000-03-10,105.70999908447266,1395.0699462890625,21.239999771118164
2000-03-13,105.5,1383.6199951171875,22.850000381469727
2000-03-14,105.30000305175781,1359.1500244140625,24.40999984741211
2000-03-15,105.37999725341797,1392.1400146484375,22.34000015258789
2000-03-16,105.18000030517578,1458.469970703125,20.770000457763672
2000-03-17,105.19999694824219,1464.469970703125,22.3700008392334
2000-03-20,105.1500015258789,1456.6300048828125,22.959999084472656
2000-03-21,105.80999755859375,1493.8699951171875,21.700000762939453
2000-03-22,106.04000091552734,1500.6400146484375,21.489999771118164
2000-03-23,105.2300033569336,1527.3499755859375,22.260000228881836
2000-03-24,104.7699966430664,1527.4599609375,23.309999465942383
2000-03-27,105.44999694824219,1523.8599853515625,24.530000686645508
2000-03-28,105.52999877929688,1507.72998046875,24.860000610351562
2000-03-29,106.25,1508.52001953125,24.100000381469727
2000-03-30,105.47000122070312,1487.9200439453125,25.469999313354492
2000-03-31,105.44000244140625,1498.5799560546875,24.110000610351562
2000-04-03,105.54000091552734,1505.969970703125,24.030000686645508
2000-04-04,105.16999816894531,1494.72998046875,27.1200008392334
2000-04-05,105.29000091552734,1487.3699951171875,28.40999984741211
2000-04-06,105.5199966430664,1501.3399658203125,27.149999618530273
2000-04-07,105.97000122070312,1516.3499755859375,24.389999389648438
2000-04-10,105.68000030517578,1504.4599609375,25.989999771118164
2000-04-11,105.94000244140625,1500.5899658203125,27.25
2000-04-12,105.95999908447266,1467.1700439453125,28.979999542236328
2000-04-13,106.13999938964844,1440.510009765625,29.399999618530273
2000-04-14,105.75,1356.56005859375,33.4900016784668
2000-04-17,106.12999725341797,1401.43994140625,28.950000762939453
2000-04-18,106.62999725341797,1441.6099853515625,26.1200008392334
2000-04-19,107.12999725341797,1427.469970703125,27.020000457763672
2000-04-20,107.44999694824219,1434.5400390625,25.850000381469727
2000-04-24,107.27999877929688,1429.8599853515625,27.3700008392334
2000-04-25,108.69000244140625,1477.43994140625,25.239999771118164
2000-04-26,108.55000305175781,1460.989990234375,26.969999313354492
2000-04-27,109.56999969482422,1464.9200439453125,26.190000534057617
2000-04-28,110.13999938964844,1452.4300537109375,26.200000762939453
2000-05-01,109.62999725341797,1468.25,25.8799991607666
2000-05-02,110.26000213623047,1446.2900390625,28.5
2000-05-03,111.26000213623047,1415.0999755859375,31.6299991607666
2000-05-04,111.80000305175781,1409.5699462890625,30.770000457763672
2000-05-05,111.30999755859375,1432.6300048828125,27.530000686645508
2000-05-08,111.44999694824219,1424.1700439453125,28.200000762939453
